municipio,count
Abasolo,1
Acámbaro,3
Apaseo el Alto,3
Apaseo el Grande,3
Atarjea,0
Celaya,14
Comonfort,1
Coroneo,0
Cortazar,2
Cuerámaro,0
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,6
Guanajuato,7
Guanajuato,7
Huanímaro,0
Irapuato,23
Jaral del Progreso,0
Jerécuaro,0
León,54
Manuel Doblado,2
Moroleón,4
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,1
Purísima del Rincón,2
Pénjamo,3
Romita,1
Salamanca,7
Salvatierra,1
San Diego de la Unión,3
San Felipe,2
San Francisco del Rincón,6
San José Iturbide,1
San Luis de la Paz,6
San Miguel de Allende,2
Santa Catarina,1
Santa Cruz de Juventino Rosas,1
Santiago Maravatío,0
Silao,10
Tarandacuao,0
Tarimoro,0
Tierra Blanca,1
Uriangato,0
Valle de Santiago,2
Victoria,0
Villagrán,1
Xichú,0
Yuriria,5
